date,temp,dew_pt,hum,wind_spd,wind_gust,dir,vis,pressure,wind_chill,heat_index,precip,cond,fog,rain,snow,hail,thunder,tornado
2015-09-25T05:53:00Z,18.9,13.9,73,5.6,NA,ENE,16.1,1021.8,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T06:53:00Z,18.3,13.9,75,5.6,NA,ENE,16.1,1022.1,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0
2015-09-25T07:53:00Z,18.9,13.9,73,7.4,NA,East,16.1,1022,NA,NA,NA,Overcast,0,0,0,0,0,0
2015-09-25T08:53:00Z,18.3,13.9,75,0,NA,North,16.1,1022.1,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0
2015-09-25T09:53:00Z,17.2,13.9,81,5.6,NA,East,16.1,1022.2,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T10:53:00Z,16.7,13.3,80,0,NA,North,16.1,1022.4,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T11:53:00Z,16.1,13.3,83,7.4,NA,East,16.1,1023,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T12:53:00Z,16.1,13.9,87,0,NA,North,14.5,1023.4,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T13:53:00Z,17.2,14.4,84,5.6,NA,ENE,14.5,1023.6,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T14:53:00Z,19.4,14.4,73,9.3,NA,East,16.1,1023.9,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T15:53:00Z,21.7,13.9,61,7.4,NA,ESE,16.1,1023.9,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T16:53:00Z,23.9,14.4,55,9.3,NA,East,16.1,1023.6,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T17:53:00Z,26.1,12.2,42,16.7,NA,East,16.1,1023.3,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T18:53:00Z,25.6,12.2,43,18.5,NA,ENE,16.1,1023,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T19:53:00Z,25.6,12.2,43,13,NA,East,16.1,1022.5,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T20:53:00Z,24.4,12.8,48,13,NA,East,16.1,1022,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T21:53:00Z,23.9,13.3,51,11.1,NA,ENE,16.1,1021.8,NA,NA,NA,Clear,0,0,0,0,0,0
2015-09-25T22:53:00Z,23.9,12.8,50,9.3,NA,ENE,16.1,1021.9,NA,NA,NA,Clear,0,0,0,0,0,0
